id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,totalWorks
10093,"Abakanowicz, Magdalena",Female,born 1930,1930,,Polska,,4
2756,"Abbott, Berenice",Female,1898-1991,1898,1991,"Springfield, United States","Monson, United States",3
1,"Abbott, Lemuel Francis",Male,1760-1803,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",2
622,"Abrahams, Ivor",Male,born 1935,1935,,"Wigan, United Kingdom",,108
2606,Absalon,Male,1964-1993,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",6
9550,"Abts, Tomma",Female,born 1967,1967,,"Kiel, Deutschland",,6
623,"Acconci, Vito",Male,born 1940,1940,,"New York, United States",,6
624,"Ackling, Roger",Male,born 1947,1947,,"Isleworth, United Kingdom",,1
625,"Ackroyd, Norman",Male,born 1938,1938,,"Leeds, United Kingdom",,5
2411,"Adam, Robert",Male,1728-1792,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",3
626,"Adams, Harry William",Male,1868-1947,1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom",1
627,"Adams, Norman",Male,1927-2005,1927,,"London, United Kingdom",,3
628,"Adams, Robert",Male,1917-1984,1917,,"Northampton, United Kingdom",,17
629,"Adeney, Bernard",Male,1878-1966,1878,,"London, United Kingdom",,1
630,"Adler, Jankel",Male,1895-1949,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",3
2608,"Adshead, Mary",Female,1904-1995,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",2
631,"Adzak, Roy",Male,1927-1987,1927,1987,"Reading, United Kingdom","Paris, France",1
632,Afro,Male,1912-1976,1912,1976,"Udine, Italia","Zürich, Schweiz",1
633,"Agar, Eileen",Female,1899-1991,1899,1991,"Ayacucho, Argentina","London, United Kingdom",8
2,"Agasse, Jacques Laurent",Male,1767-1849,1767,1849,"Genève, Schweiz","London, United Kingdom",2
3098,"Ahtila, Eija-Liisa",Female,born 1959,1959,,"Hämeenlinna, Suomi",,1
8208,"Ai, Weiwei",Male,born 1957,1957,,"Beijing, Zhonghua",,2
634,"Aitchison, Craigie",Male,1926-2009,1926,,"Edinburgh, United Kingdom",,5
635,"Ajmone, Giuseppe",Male,1923-2005,1923,,"Carpignano Sesia, Italia",,1
