ARTIST_ID,ARTIST_MDA,START_LETTER
5295,"?British School, ?16th Century",?
10093,"Abakanowicz, Magdalena",A
0,"Abbey, Edwin Austin",A
2756,"Abbott, Berenice",A
1,"Abbott, Lemuel Francis",A
622,"Abrahams, Ivor",A
2606,Absalon,A
9550,"Abts, Tomma",A
623,"Acconci, Vito",A
624,"Ackling, Roger",A
625,"Ackroyd, Norman",A
2411,"Adam, Robert",A
626,"Adams, Harry William",A
627,"Adams, Norman",A
628,"Adams, Robert",A
629,"Adeney, Bernard",A
630,"Adler, Jankel",A
2608,"Adshead, Mary",A
631,"Adzak, Roy",A
632,Afro,A
633,"Agar, Eileen",A
2,"Agasse, Jacques Laurent",A
3098,"Ahtila, Eija-Liisa",A
8208,"Ai, Weiwei",A
634,"Aitchison, Craigie",A
635,"Ajmone, Giuseppe",A
14744,"Aksel, Erdag",A
7794,"Al-Ani, Jananne",A
3067,"Albers, Anni",A
636,"Albers, Josef",A
637,"Albright, Ivan",A
638,"Aldridge, John",A
639,"Alechinsky, Pierre",A
640,"Alexander, Edwin",A
2470,"Alexander, William",A
11315,"Alimpiev, Victor",A
2472,Alken Family,A
3,"Alken, Henry Thomas",A
2471,"Alken, Samuel, Senior",A
2473,"Allan, David",A
641,"Allan, Julian Phelps",A
4,"Allan, Sir William",A
2304,"Allen, George Warner",A
5,"Allen, Joseph William",A
12153,"Allen, Phillip",A
12520,"Allen, Richard",A
642,"Alley, Anthea",A
643,"Allington, Edward",A
644,"Allinson, Adrian",A
2273,"Allom, Thomas",A
6259,"Allora, Jennifer",A
6,"Alma-Tadema, Sir Lawrence",A
12989,"Almeida, Helena",A
2657,"Almond, Darren",A
7620,"Althamer, Pawel",A
645,"Altoon, John",A
4427,"Alÿs, Francis",A
7,"Amiconi, Giacomo",A
646,"Amiet, Cuno",A
7533,"Amorales, Carlos",A
647,"Amuchastegui, Axel",A
14647,"Amzalag, Michael",A
12583,"Anderson, Hurvin",A
8,"Anderton, Henry",A
8961,"Andrade Tudela, Armando",A
15587,"Andrade, Jonathas de",A
648,"Andre, Carl",A
2704,"Andreenko, Michel",A
649,"Andrews, Michael",A
9,"Angellis, Peter",A
650,"Annesley, David",A
5221,Anonymous,A
651,"Anquetin, Louis",A
652,"Anrep, Boris",A
13677,"Ansarinia, Nazgol",A
10,"Ansdell, Richard",A
12475,"Anselmo, Giovanni",A
15135,"Ant Farm (Chip Lord, born 1944, Doug Michels, 1943-2003, Curtis Schreier, born 1944)",A
11604,"Antin, Eleanor",A
653,"Anuszkiewicz, Richard",A
10241,"Apóstol, Alexander",A
654,"Appel, Karel",A
655,"Appelbee, Leonard",A
656,"Appleyard, Fred",A
2364,"Araeen, Rasheed",A
657,"Arakawa, Shusaku",A
2752,"Araki, Nobuyoshi",A
10494,"Araujo, Juan",A
5271,"Arbus, Diane",A
12604,"Arcangel, Cory",A
658,"Archipenko, Alexander",A
659,"Ardizzone, Edward",A
660,"Ardon, Mordecai",A
661,"Arikha, Avigdor",A
662,Arman,A
663,"Armfield, Maxwell Ashby",A
11,"Armitage, Edward",A
664,"Armitage, Kenneth",A
12,"Armstead, Henry Hugh",A
665,"Armstrong, John",A
13,"Arnald, George",A
666,"Arnatt, Keith",A
667,"Arp, Jean",A
16245,Art & Language (Harold Hurrell),A
16236,Art & Language (Ian Burn),A
16838,Art & Language (Michael Baldwin),A
